#separator:tab
#html:false
姜	goeng 1 A surname
濤	tou 4 billows; large waves
慶	hing 3 to celebrate; to congratulate
幸	hang 6 fortunate; lucky
邂	haai 5 to run into somebody by chance
逅	hau 6 to run into somebody by chance
援	wun 4 to aid; to assist; to help
報	bou 3 to repay; to requite; to recompense
酬	cau 4 to reward; to repay
打	daa 2 to hit; to strike; to slap; to beat
急	gap 1 urgent; pressing; critical
夏	haa 1 summer (season)
處	cyu 2 to reside; to live; to dwell
躲	do 2 to avoid; to evade
瘋	fung 1 crazy; insane; mad
堡	bou 2 fort; fortress
壘	leoi 5 rampart, military wall
造	zou 6 to make; to build; to manufacture
烏	wu 1 crow; raven; rook
托	tok 3 to hold in the hand
邦	bong 1 nation; country; sovereign state
肯	hang 2 to be willing to; to be ready to
性	sing 3 nature; character; personality
宣	syun 1 to declare; to announce; to proclaim
洩	sit 3 to reveal; to divulge (eg. secrets)
沮	zeoi 2 gloomy; glum; disheartened
喪	song 1 to mourn; to be in mourning
熟	suk 6 familiar with; well-acquainted with
悉	sik 1 to know; to learn; to be informed of
膀	pong 4 upper arm; shoulder
緒	seoi 5 mental state
涸	kok 3 (of bodies of water) dry
源	jyun 4 source; origin; root
島	dou 2 island
燃	jin 4 to burn; to be alight
闖	cong 2 to rush in; to burst in
激	gik 1 drastic; radical; extreme
勇	jung 5 brave
堂	tong 4 hall; chamber; large room
跳	tiu 3 to jump; to leap; to hop
健	gin 6 strong; robust; vigorous
康	hong 1 happy; healthy; strong
煩	faan 4 agitated; restless; vexed; unhappy
擾	jiu 2 to disturb; to trouble
希	hei 1 to hope; to expect; to strive for
抵	dai 2 to offset; to balance
消	siu 1 to eliminate; to terminate; to eradicate
滴	dik 6 to drip; to dribble
箏	zang 1 zither
藏	cong 4 to store; to lay
模	mou 4 model; standard; example
漫	maan 6 overflow (of water), brim over, flood
除	ceoi 4 to exclude
挫	co 3 to break (something); to crush; to smash; to push down
折	zit 3 to break off; to snap; to pluck off
厭	jim 3 to be fed up with; to grow bored of; to become tired of
修	sau 1 to repair; to mend
補	bou 2 to mend; to repair; to fix
殘	caan 4 severe; cruel
破	po 3 to ruin; to destroy
悲	bei 1 sad; sorrowful
鼓	gu 2 (music) drum
舞	mou 5 dance (performance art); dancing
紓	syu 1 loosen, relax, relieve
減	gaam 2 to decrease; to subtract; to diminish
恐	hung 2 to fear; to be afraid
怖	bou 3 to fear; to be afraid
料	liu 6 to oversee; to manage; to deal with
糟	zou 1 awful; messy; terrible; in bad shape
量	loeng 4 to measure
彌	nei 4 to mend; to repair
逃	tou 4 to escape; to run away
煩	faan 4 to bother; to vex; to trouble
惱	nou 5 to be angered; to be irritated
蒼	cong 1 white; greyish white
沿	jyun 4 to follow a course, go along
途	tou 4 way; path; road
熄	sik 1 to extinguish (light or fire); to go out
曙	cyu 5 daybreak; dawn
形	jing 4 form; shape; appearance
狀	zong 6 form; appearance; state
付	fu 6 to give; to deliver; to hand over
孔	hung 2 hole; aperture; opening
瘡	cong 1 sore; skin ulcer; boil
壯	zong 3 strong; robust
勢	sai 3 outward appearance of something
壞	waai 6 rotten; spoiled
抗	kong 3 to resist; to oppose
硬	ngaang 6 hard
撑	caang 1 to prop up, to support, to brace
保	bou 2 to protect; to safeguard; to defend
養	joeng 5 to raise; to rear; to bring up
慕	mou 6 to admire; to adore
縫	fung 4 to sew up; to stitch
操	cou 3 conduct; behaviour
歪	waai 1 slanted; inclined; askew; awry; crooked; lopsided
偕	gaai 1 to accompany; together; in company
漂	piu 1  to float; to drift
亮	loeng 6 bright; brilliant; radiant
魯	lou 5 foolish; stupid; rash
莽	mong 5 rude, impertinent
推	teoi 1 to push
裝	zong 1 to hold; to store; to contain
巨	geoi 6 huge; gigantic; enormous
匠	zoeng 6 craftsman; artisan; workman
骯	ong 1 dirty
髒	zong 1 dirty; filthy; soiled; foul
膠	gaau 1 glue; adhesive; gum; resin
紙	zi 2 paper
俊	zeon 3 good-looking; pretty; beautiful; handsome
朗	long 5 clear; bright
